title,year,minutes,genres,rating,votes,director,cast
Detachment,2011,98,Drama,7.7,104951,Tony Kaye,"Adrien Brody,Christina Hendricks,Marcia Gay Harden,Lucy Liu,James Caan"
The Rite,2011,114,"Drama,Horror,Mystery",6,104236,Mikael Håfström,"Colin O'Donoghue,Anthony Hopkins,Ciarán Hinds,Alice Braga,Toby Jones"
Conan the Barbarian,2011,113,"Action,Adventure,Fantasy",5.2,104085,Marcus Nispel,"Jason Momoa,Ron Perlman,Rose McGowan,Stephen Lang,Rachel Nichols"
Another Earth,2011,92,"Drama,Mystery,Romance",6.9,102078,Mike Cahill,"Brit Marling,William Mapother,Matthew-Lee Erlbach,DJ Flava,Meggan Lennon"
Paranormal Activity 3,2011,83,"Horror,Mystery,Thriller",5.8,101894,Henry Joost,"Chloe Csengery,Jessica Tyler Brown,Christopher Nicholas Smith,Lauren Bittner,Hallie Foote"
The Best Exotic Marigold Hotel,2011,124,"Comedy,Drama,Romance",7.2,101765,John Madden,"Judi Dench,Bill Nighy,Maggie Smith,Tom Wilkinson,Patrick Pearson"
Season of the Witch,2011,95,"Action,Adventure,Fantasy",5.4,100330,Dominic Sena,"Nicolas Cage,Ron Perlman,Claire Foy,Stephen Campbell Moore,Stephen Graham"
The Smurfs,2011,103,"Adventure,Animation,Comedy",5.4,100122,Raja Gosnell,"Hank Azaria,Katy Perry,Jonathan Winters,Neil Patrick Harris,Jayma Mays"
The Muppets,2011,103,"Adventure,Comedy,Family",7.1,98725,James Bobin,"Amy Adams,Jason Segel,Chris Cooper,Rashida Jones,Steve Whitmire"
The Guard,2011,96,"Comedy,Crime,Thriller",7.3,98609,John Michael McDonagh,"Brendan Gleeson,Don Cheadle,Mark Strong,Ronan Collins,Paraic Nialand"
Jane Eyre,2011,120,"Drama,Mystery,Romance",7.3,95287,Cary Joji Fukunaga,"Mia Wasikowska,Michael Fassbender,Jamie Bell,Su Elliot,Holliday Grainger"
Blitz,2011,97,"Action,Adventure,Crime",6.1,93719,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen,Zawe Ashton,David Morrissey"
Jack and Jill,2011,91,Comedy,3.3,92902,Dennis Dugan,"Adam Sandler,Adam Sandler,Katie Holmes,Al Pacino,Elodie Tougne"
Goon,2011,92,"Comedy,Drama,Sport",6.8,92478,Michael Dowse,"Seann William Scott,Jay Baruchel,Alison Pill,Eugene Levy,Liev Schreiber"
Our Idiot Brother,2011,90,"Comedy,Drama",6.4,91551,Jesse Peretz,"Paul Rudd,Elizabeth Banks,Zooey Deschanel,Nick Sullivan,Francesca Papalia"
New Year's Eve,2011,118,"Comedy,Romance",5.6,91378,Garry Marshall,"Sarah Jessica Parker,Jessica Biel,Ashton Kutcher,Michelle Pfeiffer,Zac Efron"
Haywire,2011,93,"Action,Drama,Thriller",5.8,91309,Steven Soderbergh,"Gina Carano,Ewan McGregor,Michael Fassbender,Michael Angarano,Channing Tatum"
My Week with Marilyn,2011,99,"Biography,Drama",6.9,90585,Simon Curtis,"Michelle Williams,Eddie Redmayne,Kenneth Branagh,Julia Ormond,Pip Torrens"
Zindagi Na Milegi Dobara,2011,155,"Comedy,Drama,Musical",8.2,89918,Zoya Akhtar,"Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,Kalki Koechlin"
What's Your Number?,2011,106,"Comedy,Romance",6,89600,Mark Mylod,"Anna Faris,Chris Evans,Ari Graynor,Blythe Danner,Ed Begley Jr."
Young Adult,2011,94,"Comedy,Drama",6.3,89131,Jason Reitman,"Charlize Theron,Patrick Wilson,Patton Oswalt,Elizabeth Reaser,Collette Wolfe"
The Inbetweeners,2011,97,Comedy,6.7,88752,Ben Palmer,"James Buckley,Blake Harrison,Joe Thomas,Simon Bird,Emily Head"
Killer Joe,2011,102,"Crime,Drama,Thriller",6.7,85577,William Friedkin,"Matthew McConaughey,Emile Hirsch,Juno Temple,Thomas Haden Church,Gina Gershon"
Abduction,2011,106,"Action,Drama,Mystery",5.1,84545,John Singleton,"Taylor Lautner,Lily Collins,Alfred Molina,Jake Andolina,Oriah Acima Andrews"
Beastly,2011,86,"Drama,Fantasy,Romance",5.5,80917,Daniel Barnz,"Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen,Justin Bradley,Dakota Johnson"
Justin Bieber: Never Say Never,2011,105,"Documentary,Music",1.7,76516,Jon M. Chu,NA
The Eagle,2011,114,"Action,Adventure,Drama",6.2,75800,Kevin Macdonald,"Channing Tatum,Jamie Bell,Donald Sutherland,István Göz,Bence Gerö"
A Very Harold & Kumar Christmas,2011,90,"Adventure,Comedy",6.2,73946,Todd Strauss-Schulson,"Kal Penn,John Cho,Neil Patrick Harris,Patton Oswalt,Isabella Gielniak"
Larry Crowne,2011,98,"Comedy,Drama,Romance",6.1,73504,Tom Hanks,"Tom Hanks,Julia Roberts,Sarah Mahoney,Roxana Ortega,Randall Park"
The Sitter,2011,81,Comedy,5.6,73496,David Gordon Green,"Jonah Hill,Ari Graynor,Sam Rockwell,Max Records,J.B. Smoove"
God Bless America,2011,105,"Comedy,Crime,Drama",7.1,72971,Bobcat Goldthwait,"Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,Melinda Page Hamilton,Rich McDonald"
The Awakening,2011,102,"Drama,Horror,Mystery",6.5,70404,Nick Murphy,"Rebecca Hall,Dominic West,Imelda Staunton,Lucy Cohu,Isaac Hempstead Wright"
Arthur Christmas,2011,97,"Adventure,Animation,Comedy",7.1,70300,Sarah Smith,"James McAvoy,Jim Broadbent,Bill Nighy,Hugh Laurie,Imelda Staunton"
Dream House,2011,92,"Drama,Mystery,Thriller",6,70292,Jim Sheridan,"Daniel Craig,Rachel Weisz,Naomi Watts,Elias Koteas,Marton Csokas"
Machine Gun Preacher,2011,129,"Action,Biography,Crime",6.7,70025,Marc Forster,"Gerard Butler,Michelle Monaghan,Michael Shannon,Kathy Baker,Ryann Campos"
Red State,2011,88,"Action,Horror,Thriller",6.1,68911,Kevin Smith,"Michael Parks,Melissa Leo,John Goodman,Michael Angarano,Deborah Aquila"
Salmon Fishing in the Yemen,2011,107,"Comedy,Drama,Romance",6.8,68077,Lasse Hallström,"Ewan McGregor,Emily Blunt,Amr Waked,Kristin Scott Thomas,Catherine Steadman"
Grave Encounters,2011,92,"Horror,Mystery",6.1,67427,Colin Minihan,"Benjamin Wilkinson,Sean Rogerson,Ashleigh Gryzko,Merwin Mondesir,Juan Riedinger"
Zookeeper,2011,102,"Comedy,Family,Fantasy",5.2,67205,Frank Coraci,"Kevin James,Rosario Dawson,Leslie Bibb,Ken Jeong,Donnie Wahlberg"
Something Borrowed,2011,112,"Comedy,Drama,Romance",5.8,66369,Luke Greenfield,"Ginnifer Goodwin,Kate Hudson,Colin Egglesfield,John Krasinski,Steve Howey"
"Jeff, Who Lives at Home",2011,83,"Comedy,Drama",6.4,65995,Jay Duplass,"Jason Segel,Ed Helms,Judy Greer,Susan Sarandon,Rae Dawn Chong"
Perfect Sense,2011,92,"Drama,Romance,Sci-Fi",7,65450,David Mackenzie,"Ewan McGregor,Eva Green,Lauren Tempany,Connie Nielsen,Denis Lawson"
Bernie,2011,104,"Biography,Comedy,Crime",6.8,65439,Richard Linklater,"Jack Black,Shirley MacLaine,Matthew McConaughey,Brady Coleman,Richard Robichaux"
The Darkest Hour,2011,89,"Action,Adventure,Horror",4.9,64876,Chris Gorak,"Emile Hirsch,Olivia Thirlby,Max Minghella,Rachael Taylor,Joel Kinnaman"
The Devil's Double,2011,109,"Biography,Drama,Thriller",7,64600,Lee Tamahori,"Dominic Cooper,Dominic Cooper,Ludivine Sagnier,Raad Rawi,Philip Quast"
Like Crazy,2011,86,"Drama,Romance",6.6,63950,Drake Doremus,"Felicity Jones,Anton Yelchin,Jennifer Lawrence,Charlie Bewley,Alex Kingston"
Gnomeo & Juliet,2011,84,"Adventure,Animation,Comedy",5.9,61614,Kelly Asbury,"James McAvoy,Emily Blunt,Maggie Smith,Ashley Jensen,Michael Caine"
The Art of Getting By,2011,83,"Comedy,Drama,Family",6.5,61594,Gavin Wiesen,"Freddie Highmore,Emma Roberts,Michael Angarano,Sasha Spielberg,Marcus Carl Franklin"
Don 2,2011,148,"Action,Crime,Thriller",7.1,59695,Farhan Akhtar,"Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra Jonas,Boman Irani"
Apollo 18,2011,86,"Horror,Mystery,Sci-Fi",5.2,59082,Gonzalo López-Gallego,"Warren Christie,Lloyd Owen,Ryan Robbins,Michael Kopsa,Andrew Airlie"
Sanctum,2011,108,"Action,Adventure,Drama",5.9,57978,Alister Grierson,"Rhys Wakefield,Allison Cratchley,Christopher James Baker,Richard Roxburgh,Ioan Gruffudd"
The Dilemma,2011,111,"Comedy,Drama",5.3,57618,Ron Howard,"Vince Vaughn,Kevin James,Winona Ryder,Jennifer Connelly,Channing Tatum"
Martha Marcy May Marlene,2011,102,"Drama,Mystery,Thriller",6.8,56997,Sean Durkin,"Elizabeth Olsen,Sarah Paulson,John Hawkes,Christopher Abbott,Brady Corbet"
The Flowers of War,2011,146,"Drama,History,Romance",7.5,56972,Yimou Zhang,"Christian Bale,Ni Ni,Xinyi Zhang,Tianyuan Huang,Xiting Han"
Take Me Home Tonight,2011,97,"Comedy,Drama,Romance",6.3,56697,Michael Dowse,"Topher Grace,Anna Faris,Dan Fogler,Teresa Palmer,Chris Pratt"
Win Win,2011,106,"Comedy,Drama,Sport",7.1,55772,Tom McCarthy,"Paul Giamatti,Amy Ryan,Jeffrey Tambor,Bobby Cannavale,Burt Young"
From Up on Poppy Hill,2011,91,"Animation,Comedy,Drama",7.4,55656,Gorô Miyazaki,"Sarah Bolger,Sarah Bolger,Chris Noth,Chris Noth,Anton Yelchin"
Soul Surfer,2011,112,"Biography,Drama,Family",7,54333,Sean McNamara,"AnnaSophia Robb,Dennis Quaid,Helen Hunt,Carrie Underwood,Kevin Sorbo"
Footloose,2011,113,"Comedy,Drama,Music",5.9,54118,Craig Brewer,"Kenny Wormald,Julianne Hough,Dennis Quaid,Andie MacDowell,Miles Teller"
Arthur,2011,110,"Comedy,Romance",5.7,53440,Jason Winer,"Russell Brand,Helen Mirren,Jennifer Garner,Greta Gerwig,Geraldine James"
Kill the Irishman,2011,106,"Action,Biography,Crime",7,53017,Jonathan Hensleigh,"Ray Stevenson,Christopher Walken,Vincent D'Onofrio,Val Kilmer,Linda Cardellini"
Rockstar,2011,159,"Drama,Music,Romance",7.8,52324,Imtiaz Ali,"Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra,Piyush Mishra"
Once Upon a Time in Anatolia,2011,157,"Crime,Drama,Thriller",7.8,52005,Nuri Bilge Ceylan,"Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,Firat Tanis"
The Beaver,2011,91,Drama,6.6,51422,Jodie Foster,"Mel Gibson,Jodie Foster,Anton Yelchin,Cherry Jones,Riley Thomas Stewart"
Monte Carlo,2011,109,"Adventure,Comedy,Family",5.8,50412,Thomas Bezucha,"Selena Gomez,Selena Gomez,Leighton Meester,Katie Cassidy,Cory Monteith"
Hobo with a Shotgun,2011,86,"Action,Comedy,Crime",6.1,49519,Jason Eisener,"Rutger Hauer,Pasha Ebrahimi,Robb Wells,Brian Downey,Gregory Smith"
The Big Year,2011,100,Comedy,6.2,49320,David Frankel,"Owen Wilson,Jack Black,Steve Martin,John Cleese,Zahf Paroo"
Happy Feet Two,2011,100,"Adventure,Animation,Comedy",5.8,49141,George Miller,"Elijah Wood,Robin Williams,Robin Williams,P!nk,Carlos Alazraqui"
Seeking Justice,2011,105,"Action,Drama,Mystery",6.1,48686,Roger Donaldson,"Nicolas Cage,January Jones,Guy Pearce,Harold Perrineau,Jennifer Carpenter"
Ra.One,2011,156,"Action,Sci-Fi,Thriller",4.9,48617,Anubhav Sinha,"Shah Rukh Khan,Shah Rukh Khan,Kareena Kapoor,Arjun Rampal,Armaan Verma"
Sleep Tight,2011,102,"Crime,Drama,Thriller",7.2,48341,Jaume Balagueró,"Luis Tosar,Marta Etura,Alberto San Juan,Petra Martínez,Iris Almeida"
The Hidden Face,2011,97,"Drama,Mystery,Thriller",7.3,47956,Andrés Baiz,"Quim Gutiérrez,Martina García,María Soledad Rodríguez,Jose Luis Garcia,Marcela Mar"
Kill List,2011,95,"Crime,Drama,Horror",6.4,47346,Ben Wheatley,"Neil Maskell,MyAnna Buring,Harry Simpson,Michael Smiley,Emma Fryer"
Trespass,2011,91,"Crime,Drama,Mystery",5.3,46506,Joel Schumacher,"Nicolas Cage,Nicole Kidman,Cam Gigandet,Ben Mendelsohn,Liana Liberato"
The Human Centipede 2 (Full Sequence),2011,91,Horror,3.8,45258,Tom Six,"Laurence R. Harvey,Ashlynn Yennie,Ashlynn Yennie,Maddi Black,Maddi Black"
Ironclad,2011,121,"Action,Drama,History",6.1,44352,Jonathan English,"Paul Giamatti,Jason Flemyng,Brian Cox,James Purefoy,Kate Mara"
Friends with Kids,2011,107,"Comedy,Drama,Romance",6.1,43640,Jennifer Westfeldt,"Jennifer Westfeldt,Adam Scott,Maya Rudolph,Chris O'Dowd,Kristen Wiig"
Anonymous,2011,130,"Drama,Thriller",6.8,42674,Roland Emmerich,"Rhys Ifans,Vanessa Redgrave,David Thewlis,Sebastian Armesto,Rafe Spall"
The Roommate,2011,91,"Drama,Horror,Thriller",4.8,42437,Christian E. Christiansen,"Minka Kelly,Leighton Meester,Cam Gigandet,Aly Michalka,Danneel Ackles"
The Hunter,2011,100,"Adventure,Drama,Thriller",6.7,41884,Daniel Nettheim,"Willem Dafoe,Sam Neill,Morgan Davies,Jacek Koman,Frances O'Connor"
Alvin and the Chipmunks: Chipwrecked,2011,87,"Adventure,Comedy,Family",4.4,41683,Mike Mitchell,"Justin Long,Matthew Gray Gubler,Jesse McCartney,Jason Lee,David Cross"
Cedar Rapids,2011,87,Comedy,6.3,40330,Miguel Arteta,"Ed Helms,John C. Reilly,Anne Heche,Isiah Whitlock Jr.,Stephen Root"
The Divide,2011,112,"Drama,Horror,Sci-Fi",5.7,39548,Xavier Gens,"Lauren German,Michael Biehn,Milo Ventimiglia,Courtney B. Vance,Ashton Holmes"
El Diario De Un Chico En Apuros 2: Las Reglas De Rodrick,2011,99,"Comedy,Family",6.6,39049,David Bowers,"Zachary Gordon,Devon Bostick,Robert Capron,Rachael Harris,Steve Zahn"
Samsara,2011,102,"Documentary,Music",8.4,38945,Ron Fricke,"Balinese Tari Legong Dancers,Ni Made Megahadi Pratiwi,Puti Sri Candra Dewi,Putu Dinda Pratika,Marcos Luna"
Jiro Dreams of Sushi,2011,81,Documentary,7.8,38826,David Gelb,NA
Hop,2011,95,"Adventure,Animation,Comedy",5.4,38597,Tim Hill,"Russell Brand,Russell Brand,James Marsden,Elizabeth Perkins,Kaley Cuoco"
The Innkeepers,2011,101,"Drama,Horror,Mystery",5.5,38329,Ti West,"Sara Paxton,Pat Healy,Kelly McGillis,Alison Bartlett,Jake Ryan"
This Must Be the Place,2011,118,"Adventure,Comedy,Drama",6.7,37857,Paolo Sorrentino,"Sean Penn,Frances McDormand,Judd Hirsch,Eve Hewson,Olwen Fouéré"
Straw Dogs,2011,110,"Action,Drama,Thriller",5.8,36850,Rod Lurie,"James Marsden,Kate Bosworth,Alexander Skarsgård,James Woods,Dominic Purcell"
Sleeping Beauty,2011,101,"Drama,Mystery,Romance",5.3,35350,Julia Leigh,"Emily Browning,Rachael Blake,Ewen Leslie,Bridgette Barrett,Hannah Bella Bowden"
In the Land of Blood and Honey,2011,127,"Drama,Romance,War",4.7,34808,Angelina Jolie,"Zana Marjanovic,Goran Kostic,Rade Serbedzija,Vanessa Glodjo,Nikola Djuricko"
Flypaper,2011,87,"Comedy,Crime,Mystery",6.3,34556,Rob Minkoff,"Patrick Dempsey,Ashley Judd,Tim Blake Nelson,Mekhi Phifer,Matt Ryan"
Tyrannosaur,2011,92,Drama,7.5,34504,Paddy Considine,"Peter Mullan,Olivia Colman,Eddie Marsan,Jag Sanghera,Mike Fearnley"
Coriolanus,2011,123,"Drama,Thriller,War",6.1,34139,Ralph Fiennes,"Ralph Fiennes,Gerard Butler,Brian Cox,Lubna Azabal,Ashraf Barhom"
Hysteria,2011,100,"Biography,Comedy,Romance",6.7,33693,Tanya Wexler,"Maggie Gyllenhaal,Hugh Dancy,Jonathan Pryce,Felicity Jones,Rupert Everett"
Weekend,2011,97,"Drama,Romance",7.6,33691,Andrew Haigh,"Tom Cullen,Chris New,Jonathan Race,Laura Freeman,Loreto Murray"
Delhi Belly,2011,103,"Action,Comedy,Crime",7.6,33346,Abhinay Deo,"Imran Khan,Imran Khan,Vir Das,Kunaal Roy Kapur,Shenaz Treasury"
The Double,2011,98,"Action,Adventure,Crime",5.9,32111,Michael Brandt,"Richard Gere,Topher Grace,Martin Sheen,Tamer Hassan,Stephen Moyer"
A Lonely Place to Die,2011,99,"Crime,Thriller",6.2,31404,Julian Gilbey,"Alec Newman,Ed Speleers,Melissa George,Kate Magowan,Garry Sweeney"
"Oslo, August 31st",2011,95,Drama,7.6,31011,Joachim Trier,"Anders Danielsen Lie,Hans Olav Brenner,Ingrid Olava,Malin Crépin,Aksel Thanke"
Take This Waltz,2011,116,"Comedy,Drama",6.5,30716,Sarah Polley,"Michelle Williams,Seth Rogen,Sarah Silverman,Aaron Abrams,Luke Kirby"
"Big Mommas: Like Father, Like Son",2011,107,"Action,Comedy,Crime",4.5,30318,John Whitesell,"Martin Lawrence,Martin Lawrence,Brandon T. Jackson,Brandon T. Jackson,Jessica Lucas"
A Little Bit of Heaven,2011,106,"Comedy,Drama,Fantasy",6.2,30186,Nicole Kassell,"Kate Hudson,Gael García Bernal,Kathy Bates,Peter Dinklage,Lucy Punch"
The Resident,2011,91,"Crime,Drama,Horror",5.3,30107,Antti J. Jokinen,"Hilary Swank,Jeffrey Dean Morgan,Lee Pace,Christopher Lee,Aunjanue Ellis-Taylor"
Spy Kids 4: All the Time in the World,2011,89,"Action,Adventure,Comedy",3.6,29460,Robert Rodriguez,"Jessica Alba,Jeremy Piven,Jeremy Piven,Jeremy Piven,Joel McHale"
Winnie the Pooh,2011,63,"Adventure,Animation,Comedy",7.1,29431,Stephen J. Anderson,"Jim Cummings,Jim Cummings,Craig Ferguson,John Cleese,Bud Luckey"
The Kid with a Bike,2011,87,Drama,7.4,29025,Jean-Pierre Dardenne,"Thomas Doret,Cécile de France,Jérémie Renier,Fabrizio Rongione,Egon Di Mateo"
Your Sister's Sister,2011,90,"Comedy,Drama,Romance",6.7,28815,Lynn Shelton,"Mark Duplass,Emily Blunt,Rosemarie DeWitt,Mike Birbiglia,Michael Harring"
Bodyguard,2011,130,"Action,Drama,Romance",4.8,28812,Siddique,"Salman Khan,Kareena Kapoor,Raj Babbar,Hazel Keech,Mohammad Faizan"
10 Years,2011,100,"Comedy,Drama,Romance",6.1,27992,Jamie Linden,"Channing Tatum,Rosario Dawson,Chris Pratt,Jenna Dewan,Justin Long"
Shark Night,2011,90,"Action,Horror,Thriller",4.1,27651,David R. Ellis,"Sara Paxton,Dustin Milligan,Chris Carmack,Katharine McPhee,Joel David Moore"
Chalet Girl,2011,97,"Comedy,Romance,Sport",6.3,27455,Phil Traill,"Felicity Jones,Ed Westwick,Bill Nighy,Brooke Shields,Miquita Oliver"
The Woman,2011,103,"Drama,Horror,Thriller",6,26761,Lucky McKee,"Pollyanna McIntosh,Brandon Gerald Fuller,Lauren Ashley Carter,Chris Krzykowski,Sean Bridgers"
Dolphin Tale,2011,113,"Drama,Family",6.8,26205,Charles Martin Smith,"Morgan Freeman,Ashley Judd,Harry Connick Jr.,Nathan Gamble,Kris Kristofferson"
Losers' Club,2011,105,"Drama,Romance",7.4,26201,Tolga Örnek,"Nejat Isler,Yigit Özsener,Ahu Türkpençe,Idil Firat,Riza Kocaoglu"
Albert Nobbs,2011,113,"Drama,Romance",6.7,25994,Rodrigo García,"Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,Antonia Campbell-Hughes,Pauline Collins"
Rampart,2011,108,"Crime,Drama",5.8,25656,Oren Moverman,"Woody Harrelson,Ben Foster,Sigourney Weaver,Jon Bernthal,Stella Schnabel"
Puncture,2011,100,"Biography,Drama,Mystery",6.8,25224,Adam Kassen,"Chris Evans,Mark Kassen,Vinessa Shaw,Marshall Bell,Brett Cullen"
Silent House,2011,86,"Horror,Thriller",5.2,25130,Chris Kentis,"Elizabeth Olsen,Adam Trese,Eric Sheffer Stevens,Julia Chan,Adam Barnett"
Bullhead,2011,129,"Crime,Drama",7.3,24677,Michaël R. Roskam,"Matthias Schoenaerts,Jeroen Perceval,Jeanne Dandoy,Barbara Sarafian,Tibo Vandenborre"
Mars Needs Moms,2011,88,"Adventure,Animation,Family",5.4,24603,NA,NA
Le Havre,2011,93,"Comedy,Drama",7.2,24498,Aki Kaurismäki,"André Wilms,Blondin Miguel,Jean-Pierre Darroussin,Kati Outinen,Elina Salo"
The Tunnel,2011,94,"Horror,Mystery,Thriller",5.8,24474,Carlo Ledesma,"Bel Deliá,Andy Rodoreda,Steve Davis,Luke Arnold,Goran D. Kleut"
Silenced,2011,125,"Crime,Drama,Thriller",8,24451,Hwang Dong-hyuk,"Gong Yoo,Jung Yu-mi,Kim Hyeon-soo,Kim Ji-Yeong,In-seo Jeong"
A Good Old Fashioned Orgy,2011,95,"Comedy,Romance",6.1,24065,Alex Gregory,"Jason Sudeikis,Leslie Bibb,Tyler Labine,Lake Bell,Michelle Borth"
To the Forest of Firefly Lights,2011,45,"Animation,Drama,Fantasy",7.8,23408,Takahiro Ômori,"Kôki Uchiyama,Ayane Sakura,Shinpachi Tsuji,Izumi Sawada,Hayato Taya"
A Monster in Paris,2011,90,"Adventure,Animation,Comedy",6.7,23380,Bibo Bergeron,"Matthieu Chedid,Vanessa Paradis,Gad Elmaleh,François Cluzet,Ludivine Sagnier"
Sound of My Voice,2011,85,"Drama,Mystery,Sci-Fi",6.5,23353,Zal Batmanglij,"Christopher Denham,Nicole Vicius,Brit Marling,Davenia McFadden,Kandice Stroh"
Pyaar Ka Punchnama,2011,149,"Comedy,Drama,Romance",7.6,23175,Luv Ranjan,"Kartik Aaryan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma,Divyendu Sharma"
Texas Killing Fields,2011,105,"Crime,Drama,History",5.7,23004,Ami Canaan Mann,"Sam Worthington,Jeffrey Dean Morgan,Chloë Grace Moretz,Jessica Chastain,Jason Clarke"
Butter,2011,90,"Comedy,Drama",6.2,22847,Jim Field Smith,"Jennifer Garner,Yara Shahidi,Ty Burrell,Olivia Wilde,Garrett Schenck"
Tomboy,2011,82,Drama,7.4,22815,Céline Sciamma,"Zoé Héran,Zoé Héran,Malonn Lévana,Jeanne Disson,Sophie Cattani"
Courageous,2011,129,Drama,6.9,22067,Alex Kendrick,"Alex Kendrick,Ken Bevel,Kevin Downes,Renee Jewell,Rusty Martin"
Setup,2011,85,"Action,Crime,Drama",4.4,22004,Mike Gunther,"50 Cent,Bruce Willis,Ryan Phillippe,Rory Markham,Jenna Dewan"
Intruders,2011,100,"Fantasy,Horror,Thriller",5.4,21631,Juan Carlos Fresnadillo,"Clive Owen,Carice van Houten,Izán Corchero,Ella Purnell,Daniel Brühl"
Quarantine 2: Terminal,2011,86,"Horror,Sci-Fi,Thriller",5.2,21623,John Pogue,"Mercedes Mason,Josh Cooke,Mattie Liptak,Ignacio Serricchio,Noree Victoria"
Monsieur Lazhar,2011,95,"Comedy,Drama",7.5,21503,Philippe Falardeau,"Mohamed Fellag,Sophie Nélisse,Émilien Néron,Danielle Proulx,Marie-Ève Beauregard"
The Snowtown Murders,2011,119,"Biography,Crime,Drama",6.6,21469,Justin Kurzel,"Lucas Pittaway,Daniel Henshall,Louise Harris,Bob Adriaens,Frank Cwiertniak"
I Don't Know How She Does It,2011,89,"Comedy,Romance",5,21469,Douglas McGrath,"Sarah Jessica Parker,Pierce Brosnan,Kelsey Grammer,Greg Kinnear,Christina Hendricks"
Hick,2011,99,"Comedy,Drama",5.5,21283,Derick Martini,"Chloë Grace Moretz,Blake Lively,Rory Culkin,Eddie Redmayne,Christopher Coakley"
Absentia,2011,87,"Drama,Horror,Mystery",5.8,20839,Mike Flanagan,"Katie Parker,Courtney Bell,Dave Levine,Justin Gordon,Morgan Peter Brown"
Dam999,2011,108,"Adventure,Drama,Sci-Fi",3.8,20756,Sohan Roy,"Vinay Rai,Joshua Fredric Smith,Megha Burman,Linda Arsenio,Rajit Kapoor"
The Ledge,2011,101,"Drama,Romance,Thriller",6.5,20718,Matthew Chapman,"Charlie Hunnam,Terrence Howard,Patrick Wilson,Liv Tyler,Jaqueline Fleming"
Ready,2011,145,"Action,Comedy,Romance",4.9,20514,Anees Bazmee,"Salman Khan,Asin Thottumkal,Asin Thottumkal,Paresh Rawal,Mahesh Manjrekar"
Faces in the Crowd,2011,103,"Crime,Drama,Mystery",5.7,20487,Julien Magnat,"Milla Jovovich,Julian McMahon,David Atrakchi,David Atrakchi,Michael Shanks"
Shaolin,2011,131,"Action,Drama",6.8,20451,Benny Chan,"Shaoqun Yu,Zhiui Chen,Xing Yu,Jing Wu,Nicholas Tse"
Singham,2011,143,"Action,Crime,Drama",6.8,20313,Rohit Shetty,"Ajay Devgn,Kajal Aggarwal,Prakash Raj,Sudhanshu Pandey,Sonali Kulkarni"
The Turin Horse,2011,155,Drama,7.7,20165,Béla Tarr,"János Derzsi,Erika Bók,Mihály Kormos,Ricsi,Mihály Ráday"
Red Dog,2011,92,"Biography,Comedy,Drama",7.3,20125,Kriv Stenders,"Josh Lucas,Rachael Taylor,Rohan Nichol,Luke Ford,Arthur Angel"
Love Likes Coincidences,2011,118,"Drama,Romance",7.2,20086,Ömer Faruk Sorak,"Mehmet Günsür,Belçim Bilgin,Altan Erkekli,Ayda Aksel,Sebnem Sönmez"
The Dark Knight Rises,2012,164,"Action,Crime,Drama",8.4,1903529,Christopher Nolan,"Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Joseph Gordon-Levitt"
Django Unchained,2012,165,Western,8.5,1779079,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson"
The Avengers,2012,143,"Action,Sci-Fi",8,1501887,Joss Whedon,"Robert Downey Jr.,Robert Downey Jr.,Chris Evans,Chris Evans,Scarlett Johansson"
The Hunger Games,2012,142,"Action,Adventure,Sci-Fi",7.2,1036988,Gary Ross,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci,Wes Bentley"
The Hobbit: An Unexpected Journey,2012,169,"Adventure,Fantasy",7.8,899939,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,Ken Stott"
Silver Linings Playbook,2012,122,"Comedy,Drama,Romance",7.7,757896,David O. Russell,"Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,Chris Tucker"
